Static Encounters + Gift Pokémon,,,,,,,
,,,,,,,
Method,Location,,Possible Pokémon,,,,Requirement
Gift,,Frozen Heights (Rival's House) Post-game,,,,One of the Borrius Starters,Beat the League
Static,,Shadow Base Post-game,,,,One of the Borrius Starters,Beat the League
Gift,,Bellin Town,,,,Random,Return Prof. Log's package
Gift,,Route 2,,Litleo,,,Defeat all Trainers on the Challenge Road
Static,,Route 2,,Binacle,,,Daily
Static,,Route 3 (Beach),,Sandygast (Specific days),,,Monday/Tuesday
Gift,,Route 5,,,,Unova Starters,Number of Badges
Static,,Crater Town (Behind a bookshelf in the PC),,Clefairy (Daily),,,None
Static,,KBT Expressway (Behind any collapsed doors),,Carbink,,,ADM
Static,,Blizzard City (Frozen Forest),,Crabominable (Weekly),,,Thursday
Static,,Blizzard City (Frozen Forest),,Crabominable,,,Do the Nine Tails of Snow mission
Mission Reward,,Blizzard City,,Alolan Vulpix Egg,,,Complete the Nine Tails of Snow mission
Gift,,Fallshore City,,Togepi Egg,,,None
Static,,Fallshore City (Gym),,Lombre (Daily),,,None
Mission Reward,,Fallshore City (Mission HQ) Post-game,,Shiny Gigantamax Garbodor,,,Complete The Trash-Man mission
Mission Reward,,Fallshore City (Mission HQ) Post-game,,Gigantamax Butterfree,,,"Complete the Bye-Bye, Butterfree mission"
Static,,Lost Tunnel,,,,Wild Encounters,Do the Island Saviour mission
Mission Reward,,Epidimy Town (Pokémon Center),,Elekid Egg,,,Complete The Rogue Electivire mission
Gift,,Dehara City,,,,Sinnoh Starters,Number of Badges
Mission Reward,,Dehara City,,Flying Pikachu,,,Complete the A Life of No Regrets mission
Static,,Dehara City (Beach),,Sandygast (Specific days),,,Sunday/Wednesday
Static,,Dehara City (Gym),,,Voltorb/Electrode (Daily),,None
Static,,Great Desert,,,Rufflet/Vullaby (Weekly),,Monday/Thursday
Static,,Great Desert,,Maractus,,,Daily
Mission Reward,,Gurun Town Post-game,,Larvesta Egg,,,Complete the Treasure Hunter mission
Static,,Gurun Town (Pokémon Center) Post-game,,Spiritomb,,,Odd Keystone
Static,,Vivill Woods,,Paras (Daily),,,None
Static,,Vivill Woods,,,Foongus/Morelull (Daily),,None
Static,,Route 16,,Kecleon (Daily),,,Devon Scope
Static,,Antisis City,,,Trubbish/Garbodor,,None
Mission Reward,,Antisis City (Black Player HQ),,Alolan Grimer Egg,,,Complete the Supply and Demand mission
Static,,Route 17,,Shellder (Daily),,,None
Static,,Route 17 (Underwater),,Sharpedo,,,Do the Shark Bait mission
Gift,,Seaport City,,,,Alola Starters,Number of Badges
Gift,,Seaport City (Breeder's School),,Spiky-Eared Pichu,,,Pichu
Mission Reward,,Seaport City (Breeder's School),,Ditto,,,Complete the Armoured Magma mission
Static,,Seaport City (Warehouse),,Mimikyu (Daily),,,Do the Home for a Hobo mission
Gift,,Seaport City (Port) Post-game,,Castform,,,Find and rescue all the Clowns
Mission Reward,,Polder Town,,Feebas,,,Complete the Fisher Master mission
Mission Reward,,Polder Town,,Rotom,,,Complete the Too Much TV mission
Static,,Cootes Bog,,Feraligatr,,,Complete the Protector of the Swamp mission
Mission Reward,,Magnolia Town,,Shiny Vivillon,,,Complete the Butterfly Effect mission
Mission Reward,,Redwood Village,,Shiny Magikarp,,,Complete the Splishy Splash mission
Static,,Redwood Forest Post-game,,Snorlax,,,Beat the League
Static,,Redwood Forest Post-game,,Zoroark,,,Daily (After chasing the illusions)
Random Egg,,Magnolia Café,,,,Kanto Starters,Free egg one a day
,,,,,,Kalos Starters,
,,,,,,Froakie Post-game,
,,,,,,Other,Buy for 50.000₽ - 100.000₽ per Egg
