Route 1,,Route 2,,Route 3,,Route 4,,Route 5,,Route 6,,Route 7,,Route 8,,Route 9 + Autl Woods,,Route 10,,Route 11,,Route 12,,Route 14,,Route 16,,Route 17,,Route 18,,Ice Hole,,Icicle Cave,,Flower Paradise,,Grim Woods,,Cinder Volcano,,Valley Cave,,KBT Expressway,,Frost Mountain,,Auburn Waterway,,Frozen Forest,,Lost Tunnel,,Thundercap Mt.,,Cliff Cave,,Ruins of Void,,Rift Cave,,Great Desert,,Antisis Sewers,,Tomb of Borrius,,Vivill Woods,,Cootes Bog,,Safari Zone,,Crystal Peak,,Magnolia Fields,,Redwood Forest,,Victory Road
Snorunt,,Pikipek,,Wingull,,Starly,,Lickitung,,Bunnelby,,Yungoos,,Snover,,Spearow,,Lotad,,Swablu,,Fletchling,,Pelipper,,Tangela,,Skiploom,,Farfetch'd,,Golbat,,4F - 1F,,Yellow Flowers,,Caterpie,,1F - 4F,,1F - 2F,,"Frozen Heights, Crater, ",,Roggenrola,,Lotad,,Snover,,Graveler,,1F + 3F,,Golbat,,B3F - B1F,,1F,,Sandslash,,Grimer,,1F,,Caterpie,,Croagunk,,Easy,,B1F + 1F - 5F,,Noctowl,,Ledian,,1F
Vanillite,,Patrat,,Bidoof,,Budew,,Taillow,,Ledyba,,Doduo,,Snorunt,,Grubbin,,Tympole,,Noctowl,,Hoothoot,,Bibarel,,Girafarig,,Noctowl,,Noctowl,,Hariyama,,Zubat,,Flabébé,,Weedle,,Woobat,,Woobat,,"Blizzard, Fallshore, ",,Woobat,,Tympole,,Cubchoo,,Woobat,,Nosepass,,Alolan Geodude,,Baltoy,,Golbat,,Dwebble,,Raticate,,Unown A,,Weedle,,Quagsire,,Skitty,,Loudred,,Tranquill,,Ariados,,Golbat
Delibird,,Minccino,,Slowpoke ,,Hoothoot,,Murkrow,,Spinarak,,Alolan Rattata,,Sneasel,,Marill,,Marill,,Exeggcute,,Rockruff,,Golduck,,Pancham,,Pelipper,,Skuntank,,Sealeo,,Makuhita,,Cutiefly,,Seedot,,Slugma,,Phanpy,,"Tehl, Epidimy Entrances ",,Aron,,Marill,,Sneasel,,Lairon,,Magnemite,,Machop,,Yamask,,Haunter,,Krokorok,,Golbat,,Unown B,,Wurmple,,Sliggoo,,Rhyhorn,,Woobat,,Furfrou,,Vigoroth,,Boldore
Minior,,Inkay,,Shellos,,Lillipup,,Nidoran♂️,,Shinx,,Hoothoot,,Cubchoo,,Deerling,,Linoone,,Spoink,,Solosis,,Gastrodon,,Pawniard,,Tropius,,Persian,,Jynx,,Spheal,,Oricorio,,Pumpkaboo,,Salandit,,Nosepass,,Zubat,,Bronzor,,Linoone,,Special Encounter,,Diglett,,Cubone,,Onix,,Duskull,,Duskull,,Cacnea,,Koffing,,Unown C,,Scatterbug,,Drapion,,Natu,,Onix,,Mudsdale,,Ursaring,,Durant
,,Hoothoot,,Cherubi,,Ekans,,Nidoran♀️,,Deerling,,Buneary,,Deerling,,Shroomish,,Lombre,,Meditite,,Gothita,,Floatzel,,Chatot,,Pidgeotto,,Bouffalant,,Avalugg,,Smoochum,,Combee,,Gastly,,Numel,,Aron,,Woobat,,Nosepass,,Lombre,,Snom,,Dugtrio,,Klink,,Wooper,,Sableye,,Golett,,Darumaka,,Muk,,Unown D,,Cottonee,,Carnivine,,Alolan Meowth,,Noibat,,Gogoat,,Heracross,,B1F
,,Rattata,,Dewpider ,,Numel,,Growlithe,,Sunkern,,Espurr,,Flaaffy,,Skorupi,,Palpitoad,,Togedemaru,,Mienfoo,,Slowpoke,,Throh,,Zangoose,,Sudowoodo,,Boldore,,Bergmite,,Pink Flowers,,Shuppet,,Geodude,,B1F,,Makuhita,,Sneasel,,Palpitoad,,,,,,Elekid,,Misdreavus,,Bronzong,,Bronzor,,Hippowdon,,Weezing,,Unown E,,Swadloon,,Weepinbell,,Plusle,,Zweilous,,Miltank,,Komala,,Woobat
,,Electrike,,Surskit,,Mankey,,Yanma,,Ledian,,Drowzee,,Minior,,Audino,,Goomy,,Gulpin,,Ponyta,,Weepinbell,,Sawk,,Seviper,,Happiny,,Piloswine,,Roggenrola,,Flabébé,,Duskull,,Drilbur,,Woobat,,Aron,,Onix,,Goomy,,,,,,Tynamo,,Quagsire,,Dusclops,,Chimecho,,Vibrava,,Swarm,,Sigilyph,,Petilil,,Gloom,,Minun,,Steelix,,Tauros,,Passimian,,Graveler
,,Azurill,,Buizel,,Ralts,,Houndour,,Kricketot,,Abra,,Swarm,,Swarm,,Ditto,,Swarm,,Snubbull,,Bellsprout,,Special Encounter,,Bagon,,Swarm,,Special Encounter,,Swinub,,Cutiefly,,Phantump,,Torkoal,,Phanpy,,Nosepass,,Cryogonal,,Ditto,,,,,,Magneton,,Alolan Graveler,,Lunatone,,Bronzong,,Maractus,,Whirlipede,,B4F,,Spewpa,,Toxicroak,,Bounsweet,,Skarmory,,Swarm,,Oranguru,,Durant
,,Stufful,,Poliwag,,Swarm,,Venonat,,Ariados,,Mareep,,Stantler,,Karrablast,,Swarm,,Glameow,,Deerling,,Gloom,,Copperajah,,Swarm,,Bayleef,,Eiscue,,4F (Secret Entrance),,Oricorio,,Special Encounter,,Magby,,Nosepass,,Geodude,,,,,,,,,,Electabuzz,,Machoke,,Solrock,,Dusclops,,Special Encounter,,Special Encounter,,Unown F,,Metapod,,Swarm,,Blitzle,,1F,,Quilava,,Headbutt Trees,,B1F
,,Scraggy,,Swarm,,Burmy,,Ditto,,Luxio,,Shinx,,Special Encounter,,Special Encounter,,Shelmet,,Special Encounter,,Fletchinder,,Oddish,,Falinks,,Volbeat,,Special Encounter,,Regieleki,,Zubat,,Comfey,,Blipbug,,Shadow Basement,,Aron,,Noibat,,,,,,,,,,2F + 4F,,Steelix,,Sigilyph,,B1F - B2F,,Silicobra,,Galarian Weezing,,Unown G,,Kakuna,,Croconaw,,Helioptile,,Loudred,,Special Encounter,,Aipom,,Woobat
