Surfing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Route 2,,Route 3,,Route 4,,Route 5,,Route 6,,Route 7,,Route 8,,Route 9 + Autl Woods,,Route 10,,Route 11,,Route 12,,Route 13,,Route 14,,Route 15,,Route 16,,Route 17,,Route 18,,Dresco Town,,Fallshore City,,Tehl Town,,Epidimy Town,,Tarmigan Town,,Dehara City,,Gurun Town,,Vivill Town,,Antisis City,,Seaport City,,Polder Town,,Icy Hole,,Icicle Cave,,Grim Woods,,Cinder Volcano ,,Valley Cave,,KBT Expressway ,,Frost Mountain ,,Auburn Waterway,,Lost Tunnel,,Thundercap Mt.,,Ruins of Void ,,Great Desert ,,Antisis Sewers,,Tomb of Borrius ,,Vivill Woods,,Vivill Warehouse,,Cootes Bog,,Crystal Peak,,Magnolia Fields ,,Redwood Forest,,Cube Corp.,,Victory Road
Tentacool,,Tentacool,,Tentacool,,Tentacool,,Tentacool,,Tentacool,,X,,Marill,,Palpitoad,,Tentacool,,Tentacool,,Tentacool,,Tentacool,,Tentacool,,Tentacool,,Tentacool,,Tentacool,,Tentacool,,Tentacool,,Marill,,Finneon,,Poliwhirl,,Tentacool,,Tentacool,,Tentacool,,Tentacool,,Tentacool,,Palpitoad,,Dewgong,,Seel,,Psyduck,,Slugma,,Finneon,,X,,Seel,,Palpitoad,,X,,Stunfisk,,Tentacool,,X,,Grimer,,X,,Surskit,,Tentacool,,Quagsire,,Gastrodon,,Frillish,,Golduck,,Jellicent,,1F - B1F
Pelipper,,Pelipper,,Pelipper,,Pelipper,,Pelipper,,Pelipper,,,,Surskit,,Surskit,,Pelipper,,Pelipper,,Pelipper,,Pelipper,,Pelipper,,Pelipper,,Pelipper,,Pelipper,,Pelipper,,Pelipper,,Psyduck,,Psyduck,,Slowpoke,,Pelipper,,Pelipper,,Pelipper,,Pelipper,,Pelipper,,Stunfisk,,Sealeo,,Spheal,,Masquerain,,Magcargo,,Woobat,,,,Spheal,,Surskit,,,,Chinchou,,Pelipper,,,,Golbat,,,,Golduck,,Basculin,,Stunfisk,,Golduck,,Pelipper,,Masquerain,,Jellicent,,Lumineon
Tentacruel,,Tentacruel,,Tentacruel,,Tentacruel,,Tentacruel,,Tentacruel,,,,Masquerain,,Lombre,,Tentacruel,,Tentacruel,,Tentacruel,,Tentacruel,,Tentacruel,,Tentacruel,,Tentacruel,,Tentacruel,,Tentacruel,,Tentacruel,,Golduck,,Lumineon,,Poliwag,,Tentacruel,,Tentacruel,,Tentacruel,,Tentacruel,,Tentacruel,,Gastrodon,,Lapras,,Dewgong,,Golduck,,,,Psyduck,,,,Dewgong,,Lombre,,,,Tynamo,,Tentacruel,,,,Muk,,,,Masquerain,,Tentacruel,,Gastrodon,,Dragonair,,Jellicent,,Special Encounter,,Pelipper,,Golbat
Basculin,,Araquanid,,Basculin,,Basculin,,Mantyke,,Mantyke,,,,Azumarill,,Masquerain,,Basculin,,Mantyke,,Alomomola,,Mantine,,Basculin,,Mantyke,,Mantyke,,Mantine,,Basculin,,Pyukumuku,,Azumarill,,Golduck,,Politoed,,Pyukumuku,,Mantine,,Basculin,,Mantyke,,Mantyke,,Sliggoo,,,,Sealeo,,Surskit,,,,Golduck,,,,Sealeo,,Masquerain,,,,Lanturn,,Mantine,,,,,,,,Psyduck,,Seadra,,Sliggoo,,,,Jellicent,,Drizzile,,Ditto,,Marill
,,,,,,,,,,,,,,Special Encounter,,Special Encounter,,,,,,Special Encounter,,Special Encounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lapras,,,,,,,,,,Lapras,,Special Encounter,,,,Eelektrik,,Golduck,,,,,,,,,,,,,,,,Special Encounter,,,,Special Encounter,,Azumarill
,,,,,,,,,,,,,,Arrokuda,,Cramorant,,,,,,Galarian Slowpoke,,Galarian Slowpoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cramorant,,,,,,,,,,,,,,,,,,,,,,Enamorus,,,,Dracovish,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arctovish,,
Fishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1F
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magcargo
Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,Old Rod,,2F
